Conference,Year,Title,Author,Affiliation
NeurIPS,2017,Gaussian Quadrature for Kernel Features,"['Tri Dao', 'Christopher M De Sa', 'Chris Ré']","['Stanford University', 'Stanford', 'Stanford']"
NeurIPS,2017,A Linear-Time Kernel Goodness-of-Fit Test,"['Wittawat Jitkrittum', 'Wenkai Xu', 'Zoltan Szabo', 'Kenji Fukumizu', 'Arthur Gretton']","['Gatsby unit, University College London', 'Gatsby Unit, UCL', 'Ecole Polytechnique', 'Institute of Statistical Mathematics', 'Gatsby Unit, UCL']"
NeurIPS,2017,Convergence rates of a partition based Bayesian multivariate density estimation method,"['Linxi Liu', 'Dangna Li', 'Wing Hung Wong']","['Columbia University', 'Stanford University', 'Stanford university']"
NeurIPS,2017,The power of absolute discounting: all-dimensional distribution estimation,"['Moein Falahatgar', 'Mesrob Ohannessian', 'Alon Orlitsky', 'Venkatadheeraj Pichapati']","['UCSD', 'Toyota Technological Institute at Chicago', 'University of California, San Diego', 'UC San Diego']"
NeurIPS,2017,Learning Populations of Parameters,"['Kevin Tian', 'Weihao Kong', 'Gregory Valiant']","['Stanford University', 'Stanford University', 'Stanford University']"
NeurIPS,2017,Communication-Efficient Distributed Learning of Discrete Distributions,"['Ilias Diakonikolas', 'Elena Grigorescu', 'Jerry Li', 'Abhiram Natarajan', 'Krzysztof Onak', 'Ludwig Schmidt']","['USC', 'Purdue University', 'Berkeley', 'Purdue University', 'IBM T.J. Watson Research Center', 'MIT']"
NeurIPS,2017,Improved Dynamic Regret for Non-degenerate Functions,"['Lijun Zhang', 'Tianbao Yang', 'Jinfeng Yi', 'Rong Jin', 'Zhi-Hua Zhou']","['Nanjing University (NJU)', 'The University of Iowa', 'JD AI Research', 'Alibaba', 'Nanjing University']"
NeurIPS,2017,Parameter-Free Online Learning via Model Selection,"['Dylan J Foster', 'Satyen Kale', 'Mehryar Mohri', 'Karthik Sridharan']","['Cornell University', 'Google', 'Courant Institute and Google', 'Cornell University']"
NeurIPS,2017,Fast Rates for Bandit Optimization with Upper-Confidence Frank-Wolfe,"['Quentin Berthet', 'Vianney Perchet']","['University of Cambridge', 'ENS Paris-Saclay & Criteo Research']"
NeurIPS,2017,Online Learning with Transductive Regret,"['Scott Yang', 'Mehryar Mohri']","['D. E. Shaw & Co.', 'Courant Institute and Google']"
NeurIPS,2017,Multi-Armed Bandits with Metric Movement Costs,"['Tomer Koren', 'Roi Livni', 'Yishay Mansour']","['Google', 'Princeton', 'Tel Aviv University']"
NeurIPS,2017,Differentially Private Empirical Risk Minimization Revisited: Faster and More General,"['Di Wang', 'Minwei Ye', 'Jinhui Xu']","['State University of New York at Buffalo', 'University at Buffalo', 'SUNY at Buffalo']"
NeurIPS,2017,Certified Defenses for Data Poisoning Attacks,"['Jacob Steinhardt', 'Pang Wei Koh', 'Percy Liang']","['Stanford University', 'Stanford University', 'Stanford University']"
NeurIPS,2017,Sparse Approximate Conic Hulls,"['Greg Van Buskirk', 'Benjamin Raichel', 'Nicholas Ruozzi']","['UT Dallas', 'UT Dallas', 'UTDallas']"
NeurIPS,2017,On Tensor Train Rank Minimization : Statistical Efficiency and Scalable Algorithm,"['Masaaki Imaizumi', 'Takanori Maehara', 'Kohei Hayashi']","['Institute of Statistical Mathematics / RIKEN', 'RIKEN AIP', 'Preferred Networks']"
NeurIPS,2017,Sparse convolutional coding for neuronal assembly detection,"['Sven Peter', 'Elke Kirschbaum', 'Martin Both', 'Lee Campbell', 'Brandon Harvey', 'Conor Heins', 'Daniel Durstewitz', 'Ferran Diego', 'Fred Hamprecht']","['University Heidelberg', 'HCI/IWR, Heidelberg University', 'Institute for Physiology and Pathophysiology Heidelberg University', 'Intramural Research Program, National Institute on Drug Abuse', 'Intramural Research Program, National Institute on Drug Abuse', 'Intramural Research Program, National Institute on Drug Abuse', 'CIMH Heidelberg University', 'Bosch', 'Heidelberg University']"
NeurIPS,2017,Estimating High-dimensional Non-Gaussian Multiple Index Models via Stein’s Lemma,"['Zhuoran Yang', 'Krishnakumar Balasubramanian', 'Zhaoran Wang', 'Han Liu']","['Princeton University', 'University of California, Davis', 'Princeton, Phd student', 'Tencent AI Lab']"
NeurIPS,2017,Solid Harmonic Wavelet Scattering: Predicting Quantum Molecular Energy from Invariant Descriptors of 3D  Electronic Densities,"['Michael Eickenberg', 'Georgios Exarchakis', 'Matthew Hirn', 'Stephane Mallat']","['UC Berkeley', 'École Normale Supérieure', 'Michigan State University', 'Ecole normale superieure']"
NeurIPS,2017,Clustering Billions of Reads for DNA Data Storage,"['Cyrus Rashtchian', 'Konstantin Makarychev', 'Miklos Racz', 'Siena Ang', 'Djordje Jevdjic', 'Sergey Yekhanin', 'Luis Ceze', 'Karin Strauss']","['University of Washington', 'Northwestern University', 'Princeton University', 'Microsoft', 'Microsoft Research', 'Microsoft', 'University of Washington', 'Microsoft Research']"
NeurIPS,2017,Deep Recurrent Neural Network-Based Identification of Precursor microRNAs,"['Seunghyun Park', 'Seonwoo Min', 'Hyun-Soo Choi', 'Sungroh Yoon']","['NAVER Corp.', 'Seoul National University', 'Seoul Nation University', 'Seoul National University']"
NeurIPS,2017,Decoding with Value Networks for Neural Machine Translation,"['Di He', 'Hanqing Lu', 'Yingce Xia', 'Tao Qin', 'Liwei Wang', 'Tie-Yan Liu']","['Peking University', 'Zhejiang University', 'Microsoft Research', 'Microsoft Research', 'Peking University', 'Microsoft Research']"
NeurIPS,2017,Learned in Translation: Contextualized Word Vectors,"['Bryan McCann', 'James Bradbury', 'Caiming Xiong', 'Richard Socher']","['Salesforce Research', 'Salesforce Research', 'Salesforce', 'MetaMind']"
NeurIPS,2017,Deep Voice 2: Multi-Speaker Neural Text-to-Speech,"['Andrew Gibiansky', 'Sercan Arik', 'Gregory Diamos', 'John Miller', 'Kainan Peng', 'Wei Ping', 'Jonathan Raiman', 'Yanqi Zhou']","['Baidu Research', 'Baidu Research', 'Baidu SVAIL', 'Baidu Research', 'Baidu Research', 'Baidu Research', 'Baidu Research', 'Baidu Research']"
NeurIPS,2017,Modulating early visual processing by language,"['Harm de Vries', 'Florian Strub', 'Jeremie Mary', 'Hugo Larochelle', 'Olivier Pietquin', 'Aaron Courville']","['Université de Montréal', 'University of Lille', 'INRIA / Univ. Lille', 'Google Brain', 'Google Research    Brain Team', 'U. Montreal']"
NeurIPS,2017,Multimodal Learning and Reasoning for Visual Question Answering,"['Ilija Ilievski', 'Jiashi Feng']","['National University of Singapore', 'National University of Singapore']"
NeurIPS,2017,Learning to Model the Tail,"['Yu-Xiong Wang', 'Deva Ramanan', 'Martial Hebert']","['Carnegie Mellon University', 'Carnegie Mellon University', 'cmu']"
NeurIPS,2017,Interpretable and Globally Optimal Prediction for Textual Grounding using Image Concepts,"['Raymond Yeh', 'Jinjun Xiong', 'Wen-Mei Hwu', 'Minh Do', 'Alex Schwing']","['University of Illinois at Urbana–Champaign', 'IBM Research', nan, 'University of Illinois', 'University of Illinois at Urbana-Champaign']"
NeurIPS,2017,Multiscale Quantization for Fast Similarity Search,"['Xiang Wu', 'Ruiqi Guo', 'Ananda Theertha Suresh', 'Sanjiv Kumar', 'Daniel Holtmann-Rice', 'David Simcha', 'Felix Yu']","['Google', 'Google', 'Google', 'Google Research', 'Google Inc', 'Google', 'Google Research']"
NeurIPS,2017,MaskRNN: Instance Level Video Object Segmentation,"['Yuan-Ting Hu', 'Jia-Bin Huang', 'Alex Schwing']","['University of Illinois Urbana-Champaign', 'Virginia Tech', 'University of Illinois at Urbana-Champaign']"
NeurIPS,2017,Learning Spherical Convolution for Fast Features from 360° Imagery,"['Yu-Chuan Su', 'Kristen Grauman']","['UT Austin', 'University of Texas at Austin']"
NeurIPS,2017,Deep Mean-Shift Priors for Image Restoration,"['Siavash Arjomand Bigdeli', 'Matthias Zwicker', 'Paolo Favaro', 'Meiguang Jin']","['Universität Bern', 'University of Maryland, College Park', 'University of Bern', 'University of Bern']"
NeurIPS,2017,Pixels to Graphs by Associative Embedding,"['Alejandro Newell', 'Jia Deng']","['University of Michigan', 'University of Michigan']"
NeurIPS,2017,MarrNet: 3D Shape Reconstruction via 2.5D Sketches,"['Jiajun Wu', 'Yifan Wang', 'Tianfan Xue', 'Xingyuan Sun', 'Bill Freeman', 'Josh Tenenbaum']","['MIT', 'Tsinghua University', 'MIT CSAIL', 'Shanghai Jiao Tong University', 'MIT/Google', 'MIT']"
NeurIPS,2017,Temporal Coherency based Criteria for Predicting Video Frames using Deep Multi-stage Generative Adversarial Networks,"['Prateep Bhattacharjee', 'S. Das']","['Indian Institute of Technology Madras', 'IIT Madras']"
NeurIPS,2017,Self-Supervised Intrinsic Image Decomposition,"['Michael Janner', 'Jiajun Wu', 'Tejas Kulkarni', 'Ilker Yildirim', 'Josh Tenenbaum']","['MIT', 'MIT', 'DeepMind', 'MIT', 'MIT']"
NeurIPS,2017,Unsupervised learning of object frames by dense equivariant image labelling,"['James Thewlis', 'Hakan Bilen', 'Andrea Vedaldi']","['University of Oxford', 'University of Edinburgh', 'Facebook AI Research and University of Oxford']"
NeurIPS,2017,One-Sided Unsupervised Domain Mapping,"['Sagie Benaim', 'Lior Wolf']","['Tel Aviv University', 'Facebook AI Research']"
NeurIPS,2017,Contrastive Learning for Image Captioning,"['Bo Dai', 'Dahua Lin']","['Georgia Tech', 'The Chinese University of Hong Kong']"
NeurIPS,2017,Dynamic Routing Between Capsules,"['Sara Sabour', 'Nicholas Frosst', 'Geoffrey E Hinton']","['Google', 'Google', 'Google & University of Toronto']"
NeurIPS,2017,What Uncertainties Do We Need in Bayesian Deep Learning for Computer Vision?,"['Alex Kendall', 'Yarin Gal']","['University of Cambridge', 'University of Oxford']"
NeurIPS,2017,Efficient Optimization for Linear Dynamical Systems with Applications to Clustering and Sparse Coding,"['Wenbing Huang', 'Mehrtash Harandi', 'Tong Zhang', 'Lijie Fan', 'Fuchun Sun', 'Junzhou Huang']","['Tencent AI Lab', 'Data61', 'Tencent AI Lab', 'Tsinghua University', 'Tsinghua University', 'University of Texas at Arlington / Tencent AI Lab']"
NeurIPS,2017,Label Distribution Learning Forests,"['Wei Shen', 'KAI ZHAO', 'Yilu Guo', 'Alan Yuille']","['Shanghai University', 'Nankai University', 'Shanghai University', 'Johns Hopkins University']"
NeurIPS,2017,Graph Matching via Multiplicative Update Algorithm,"['Bo Jiang', 'Jin Tang', 'Chris Ding', 'Yihong Gong', 'Bin Luo']","['Anhui University', nan, 'University of Texas at Arlington', nan, nan]"
NeurIPS,2017,Training Quantized Nets: A Deeper Understanding,"['Hao Li', 'Soham De', 'Zheng Xu', 'Christoph Studer', 'Hanan Samet', 'Tom Goldstein']","['Amazon Web Services', 'University of Maryland, College Park', 'University of Maryland, College Park', 'Cornell University', 'University of Maryland at College Park', 'University of Maryland']"
NeurIPS,2017,An inner-loop free solution to inverse problems using deep neural networks,"['Kai Fan', 'Qi Wei', 'Lawrence Carin', 'Katherine Heller']","['Duke University', 'JPMorgan Chase', 'Duke University', 'Duke']"
NeurIPS,2017,Towards Accurate Binary Convolutional Neural Network,"['Xiaofan Lin', 'Cong Zhao', 'Wei Pan']","['DJI', 'DJI', 'DJI']"
NeurIPS,2017,Runtime Neural Pruning,"['Ji Lin', 'Yongming Rao', 'Jiwen Lu', 'Jie Zhou']","['Tsinghua University', 'Tsinghua University', 'Tsinghua University', 'Tsinghua University']"
NeurIPS,2017,Structured Embedding Models for Grouped Data,"['Maja Rudolph', 'Francisco Ruiz', 'Susan Athey', 'David Blei']","['Columbia University', nan, 'Stanford University', 'Columbia University']"
NeurIPS,2017,Poincaré Embeddings for Learning Hierarchical Representations,"['Maximillian Nickel', 'Douwe Kiela']","['Facebook', 'Facebook AI Research']"
NeurIPS,2017,Language Modeling with Recurrent Highway Hypernetworks,['Joseph Suarez'],['Stanford University']
NeurIPS,2017,Preventing Gradient Explosions in Gated Recurrent Units,"['Sekitoshi Kanai', 'Yasuhiro Fujiwara', 'Sotetsu Iwamura']","['NTT, Keio University', 'NTT Software Innovation Center', 'NTT Software Innovation center']"
NeurIPS,2017,"Wider and Deeper, Cheaper and Faster: Tensorized LSTMs for Sequence Learning","['Zhen He', 'Shaobing Gao', 'Leon Xiao', 'Daxue Liu', 'Hangen He', 'David Barber']","['University College London', 'Sichuan University', 'National University of Defense Technology', 'National University of Defense Technology', 'National University of Defense Technology', 'University College London']"
NeurIPS,2017,Fast-Slow Recurrent Neural Networks,"['Asier Mujika', 'Florian Meier', 'Angelika Steger']","['ETH Zürich', 'ETH Zurich', 'ETH Zurich']"
NeurIPS,2017,Cold-Start Reinforcement Learning with Softmax Policy Gradient,"['Nan Ding', 'Radu Soricut']","['Google', 'Google']"
NeurIPS,2017,Deep Learning for Precipitation Nowcasting: A Benchmark and A New Model,"['Xingjian Shi', 'Zhihan Gao', 'Leonard Lausen', 'Hao Wang', 'Dit-Yan Yeung', 'Wai-kin Wong', 'Wang-chun WOO']","['HKUST', 'HKUST', 'HKUST', 'HKUST', 'HKUST, Hong Kong', 'HKO', 'HKO']"
NeurIPS,2017,Recurrent Ladder Networks,"['Isabeau Prémont-Schwarz', 'Alexander Ilin', 'Hotloo Hao', 'Antti Rasmus', 'Rinu Boney', 'Harri Valpola']","['Element AI', 'Aalto University', 'The Curious AI Company', nan, nan, 'The Curious AI Company']"
NeurIPS,2017,Predictive-State Decoders: Encoding the Future into Recurrent Networks,"['Arun Venkatraman', 'Nick Rhinehart', 'Wen Sun', 'Lerrel Pinto', 'Martial Hebert', 'Byron Boots', 'Kris Kitani', 'J. Bagnell']","['Carnegie Mellon University', 'Carnegie Mellon University', 'Carnegie Mellon University', nan, 'cmu', 'Georgia Tech / Google Brain', 'Carnegie Mellon University', 'Carnegie Mellon University']"
NeurIPS,2017,QMDP-Net: Deep Learning for Planning under Partial Observability,"['Peter Karkus', 'David Hsu', 'Wee Sun Lee']","['NUS', 'National University of Singapore', 'National University of Singapore']"
NeurIPS,2017,Filtering Variational Objectives,"['Chris Maddison', 'Dieterich Lawson', 'George Tucker', 'Nicolas Heess', 'Mohammad Norouzi', 'Andriy Mnih', 'Arnaud Doucet', 'Yee Teh']","['Oxford', 'Google Brain', 'Google Brain', 'Google DeepMind', nan, 'DeepMind', 'Oxford', 'DeepMind']"
NeurIPS,2017,Unsupervised Learning of Disentangled and Interpretable Representations from Sequential Data,"['Wei-Ning Hsu', 'Yu Zhang', 'James Glass']","['Massachusetts Institute of Technology', 'Google Brain', 'MIT CSAIL']"
NeurIPS,2017,Neural Discrete Representation Learning,"['Aaron van den Oord', 'Oriol Vinyals', 'koray kavukcuoglu']","['Google Deepmind', 'Google DeepMind', 'Google DeepMind']"
NeurIPS,2017,Variational Memory Addressing in Generative Models,"['Jörg Bornschein', 'Andriy Mnih', 'Daniel Zoran', 'Danilo Jimenez Rezende']","['DeepMind', 'DeepMind', 'DeepMind', 'Google DeepMind']"
NeurIPS,2017,Cortical microcircuits as gated-recurrent neural networks,"['Rui Costa', 'Yannis Assael', 'Brendan Shillingford', 'Nando de Freitas', 'TIm Vogels']","['University of Oxford', 'DeepMind', 'University of Oxford', 'DeepMind', 'University of Oxford']"
NeurIPS,2017,Continual Learning with Deep Generative Replay,"['Hanul Shin', 'Jung Kwon Lee', 'Jaehong Kim', 'Jiwon Kim']","['Massachusetts Institute of Technology', 'SK T-Brain', 'T-Brain', 'SK T-Brain']"
NeurIPS,2017,Hierarchical Attentive Recurrent Tracking,"['Adam Kosiorek', 'Alex Bewley', 'Ingmar Posner']","['University of Oxford', 'Wayve', 'Oxford University']"
NeurIPS,2017,VAE Learning via Stein Variational Gradient Descent,"['Yuchen Pu', 'Zhe Gan', 'Ricardo Henao', 'Chunyuan Li', 'Shaobo Han', 'Lawrence Carin']","['Duke University', 'Duke University', 'Duke University', 'Duke University', 'Duke University', 'Duke University']"
NeurIPS,2017,Learning to Inpaint for Image Compression,"['Mohammad Haris Baig', 'Vladlen Koltun', 'Lorenzo Torresani']","['Dartmouth College', 'Intel Labs', 'Dartmouth/Facebook']"
NeurIPS,2017,Visual Interaction Networks: Learning a Physics Simulator from Video,"['Nick Watters', 'Daniel Zoran', 'Theophane Weber', 'Peter Battaglia', 'Razvan Pascanu', 'Andrea Tacchetti']","['Google DeepMind', 'DeepMind', 'DeepMind', 'DeepMind', 'Google DeepMind', 'MIT']"
NeurIPS,2017,NeuralFDR: Learning Discovery Thresholds from Hypothesis Features,"['Fei Xia', 'Martin J Zhang', 'James Zou', 'David Tse']","['Stanford University', 'Stanford University', 'Stanford', 'Stanford University']"
NeurIPS,2017,Eigen-Distortions of Hierarchical Representations,"['Alexander Berardino', 'Valero Laparra', 'Johannes Ballé', 'Eero Simoncelli']","['New York University', 'Universitat de València', 'Google', 'HHMI / New York University']"
NeurIPS,2017,On-the-fly Operation Batching in Dynamic Computation Graphs,"['Graham Neubig', 'Yoav Goldberg', 'Chris Dyer']","['Carnegie Mellon University', 'Bar-Ilan University', 'DeepMind']"
NeurIPS,2017,Learning Affinity via Spatial Propagation Networks,"['Sifei Liu', 'Shalini De Mello', 'Jinwei Gu', 'Guangyu Zhong', 'Ming-Hsuan Yang', 'Jan Kautz']","['Nvidia', 'NVIDIA', 'NVIDIA Research', 'Dalian University of Technology', 'UC Merced / Google', 'NVIDIA']"
NeurIPS,2017,Few-Shot Adversarial Domain Adaptation,"['Saeid Motiian', 'Quinn Jones', 'Seyed Iranmanesh', 'Gianfranco Doretto']","['West Virginia University', 'West Virginia University', 'West Virginia University', 'West Virginia University']"
NeurIPS,2017,Deep Hyperspherical Learning,"['Weiyang Liu', 'Yan-Ming Zhang', 'Xingguo Li', 'Zhiding Yu', 'Bo Dai', 'Tuo Zhao', 'Le Song']","['Georgia Tech', 'Institute of Automation, Chinese Academy of Sciences', 'Princeton University', 'Carnegie Mellon University', 'Georgia Tech', 'Georgia Tech', 'Ant Financial & Georgia Institute of Technology']"
NeurIPS,2017,Riemannian approach to batch normalization,"['Minhyung Cho', 'Jaehyung Lee']","['Gracenote', 'Gracenote']"
NeurIPS,2017,Training Deep Networks without Learning Rates Through Coin Betting,"['Francesco Orabona', 'Tatiana Tommasi']","['Boston University', 'University of Rome La Sapienza']"
NeurIPS,2017,Convergent Block Coordinate Descent for Training Tikhonov Regularized Deep Neural Networks,"['Ziming Zhang', 'Matthew Brand']","['MERL', 'Mitsubishi Electric Research Labs']"
NeurIPS,2017,Collaborative Deep Learning in Fixed Topology Networks,"['Zhanhong Jiang', 'Aditya Balu', 'Chinmay Hegde', 'Soumik Sarkar']","['Iowa State University', 'Iowa State University', 'Iowa State University', 'Iowa State University']"
NeurIPS,2017,How regularization affects the critical points in linear networks,"['Amir Taghvaei', 'Jin W Kim', 'Prashant Mehta']","['University of Illinois at Urbana-Champaign', 'University of Illinois', 'University of Illinois']"
NeurIPS,2017,Predicting Organic Reaction Outcomes with Weisfeiler-Lehman Network,"['Wengong Jin', 'Connor Coley', 'Regina Barzilay', 'Tommi Jaakkola']","['MIT CSAIL', 'MIT', 'Massachusetts Institute of Technology', 'MIT']"
NeurIPS,2017,Predicting Scene Parsing and Motion Dynamics in the Future,"['Xiaojie Jin', 'Huaxin Xiao', 'Xiaohui Shen', 'Jimei Yang', 'Zhe Lin', 'Yunpeng Chen', 'Zequn Jie', 'Jiashi Feng', 'Shuicheng Yan']","['National University of Singapore & Snap Research', 'NUDT', 'Adobe', 'Adobe Research', 'Adobe Research', 'National University of Singapore', 'Tencent AI Lab', 'National University of Singapore', 'National University of Singapore']"
NeurIPS,2017,Houdini: Fooling Deep Structured Visual and Speech Recognition Models with Adversarial Examples,"['Moustapha Cisse', 'Yossi Adi', 'Natalia Neverova', 'Yossi Keshet']","['Facebook AI Research', 'Bar Ilan University', 'Facebook AI Research', 'Bar-Ilan University']"
NeurIPS,2017,Geometric Matrix Completion with Recurrent Multi-Graph Neural Networks,"['Federico Monti', 'Michael Bronstein', 'Xavier Bresson']","['Università della Svizzera italiana', 'USI Lugano / Tel Aviv University / Intel', 'NTU']"
NeurIPS,2017,Compression-aware Training of Deep Networks,"['Jose Alvarez', 'Mathieu Salzmann']","['TRI', 'EPFL']"
NeurIPS,2017,Non-parametric Structured Output Networks,"['Andreas Lehrmann', 'Leonid Sigal']","['Disney Research', 'University of British Columbia']"
NeurIPS,2017,GibbsNet: Iterative Adversarial Inference for Deep Graphical Models,"['Alex Lamb', 'devon Hjelm', 'Yaroslav Ganin', 'Joseph Paul Cohen', 'Aaron Courville', 'Yoshua Bengio']","['UMontreal (MILA)', 'MSR / MILA', 'DeepMind', 'MILA                                ShortScience.org', 'U. Montreal', 'U. Montreal']"
NeurIPS,2017,Exploring Generalization in Deep Learning,"['Behnam Neyshabur', 'Srinadh Bhojanapalli', 'David Mcallester', 'Nati Srebro']","['New York University', 'Google Research', 'Toyota Tech Institute Chicago', 'TTI-Chicago']"
NeurIPS,2017,Regularizing Deep Neural Networks by Noise: Its Interpretation and Optimization,"['Hyeonwoo Noh', 'Tackgeun You', 'Jonghwan Mun', 'Bohyung Han']","['POSTECH', 'POSTECH', 'POSTECH', 'Seoul National University']"
NeurIPS,2017,Extracting low-dimensional dynamics from multiple large-scale neural population recordings by learning to predict correlations,"['Marcel Nonnenmacher', 'Srini C Turaga', 'Jakob H Macke']","['Research center caesar', 'Janelia Research Campus, Howard Hughes Medical Institute', 'research center caesar, an associate of the Max Planck Society']"
NeurIPS,2017,Adaptive stimulus selection for optimizing neural population responses,"['Benjamin Cowley', 'Ryan Williamson', 'Katerina Clemens', 'Matthew Smith', 'Byron M Yu']","['Carnegie Mellon University', 'Carnegie Mellon University', 'University of Pittsburgh', 'University of Pittsburgh', 'Carnegie Mellon University']"
NeurIPS,2017,OnACID: Online Analysis of Calcium Imaging Data in Real Time,"['Andrea Giovannucci', 'Johannes Friedrich', 'Matt Kaufman', 'Anne Churchland', 'Dmitri Chklovskii', 'Liam Paninski', 'Eftychios Pnevmatikakis']","['Flatiron Institute, Simons Foundation', 'Columbia University', 'Cold Spring Harbor Laboratory', 'Cold Spring Harbor Laboratory', 'Simons Foundation', 'Columbia University', 'Flatiron Institute']"
NeurIPS,2017,Detrended Partial Cross Correlation for Brain Connectivity Analysis,"['Jaime Ide', 'Fábio Cappabianco', 'Fabio Faria', 'Chiang-shan R Li']","['Yale University', 'Federal University of Sao Paulo', 'Federal University of Sao Paulo', 'Yale University']"
NeurIPS,2017,Practical Bayesian Optimization for Model Fitting with Bayesian Adaptive Direct Search,"['Luigi Acerbi', 'Wei Ji']","['University of Geneva', 'New York University']"
NeurIPS,2017,An Error Detection and Correction Framework for Connectomics,"['Jonathan Zung', 'Ignacio Tartavull', 'Kisuk Lee', 'H. Sebastian Seung']","['Princeton University', 'Princeton Universitiy', 'MIT', 'Princeton University']"
NeurIPS,2017,GP CaKe: Effective brain connectivity with causal kernels,"['Luca Ambrogioni', 'Max Hinne', 'Marcel Van Gerven', 'Eric Maris']","['Donders Institute', 'Radboud University', 'Radboud University', 'Donders Institute']"
NeurIPS,2017,Learning Neural Representations of Human Cognition across Many fMRI Studies,"['Arthur Mensch', 'Julien Mairal', 'Danilo Bzdok', 'Bertrand Thirion', 'Gael Varoquaux']","['Inria Parietal', 'Inria', 'RWTH Aachen University', 'INRIA', 'Parietal Team, INRIA']"
NeurIPS,2017,Mapping distinct timescales of functional interactions among brain networks,"['Mali Sundaresan', 'Arshed Nabeel', 'Devarajan Sridharan']","['Indian Institute of Science, Bangalore', 'Indian Institute of Science, Bangalore', 'Indian Institute of Science, Bangalore']"
NeurIPS,2017,Robust Estimation of Neural Signals in Calcium Imaging,"['Hakan Inan', 'Murat Erdogdu', 'Mark Schnitzer']","['Stanford University', 'University of Toronto', 'Stanford University']"
NeurIPS,2017,Learning the Morphology of Brain Signals Using Alpha-Stable Convolutional Sparse Coding,"['Mainak Jas', 'Tom Dupré la Tour', 'Umut Simsekli', 'Alex Gramfort']","['Télécom ParisTech', 'Télécom ParisTech', 'Bogazici University', 'LTCI, CNRS, Télécom ParisTech, Université Paris-Saclay']"
NeurIPS,2017,Streaming Weak Submodularity: Interpreting Neural Networks on the Fly,"['Ethan Elenberg', 'Alex Dimakis', 'Moran Feldman', 'Amin Karbasi']","['ASAPP', 'University of Texas, Austin', 'Open University of Israel', 'Yale']"
NeurIPS,2017,Decomposable Submodular Function Minimization: Discrete and Continuous,"['Alina Ene', 'Huy Nguyen', 'László A. Végh']","['University of Warwick', 'Northeastern University', 'London School of Economics']"
NeurIPS,2017,Differentiable Learning of Submodular Functions,"['Josip Djolonga', 'Andreas Krause']","['ETH Zurich', 'ETH Zurich']"
NeurIPS,2017,Robust Optimization for Non-Convex Objectives,"['Robert S Chen', 'Brendan Lucier', 'Yaron Singer', 'Vasilis Syrgkanis']","['Harvard University', 'Microsoft Research', 'Harvard University', 'Microsoft Research']"
NeurIPS,2017,On the Optimization Landscape of Tensor Decompositions,"['Rong Ge', 'Tengyu Ma']","['Duke University', 'Stanford University']"
NeurIPS,2017,Gradient Descent Can Take Exponential Time to Escape Saddle Points,"['Simon Du', 'Chi Jin', 'Jason D Lee', 'Michael Jordan', 'Aarti Singh', 'Barnabas Poczos']","['Carnegie Mellon University', 'UC Berkeley', 'USC', 'UC Berkeley', 'Carnegie Mellon University', 'Carnegie Mellon University']"
NeurIPS,2017,Convolutional Phase Retrieval,"['Qing Qu', 'Yuqian Zhang', 'Yonina Eldar', 'John Wright']","['Columbia University', 'Cornell University', 'Israel Institute of Technology', 'Columbia University']"
NeurIPS,2017,Implicit Regularization in Matrix Factorization,"['Suriya Gunasekar', 'Blake Woodworth', 'Srinadh Bhojanapalli', 'Behnam Neyshabur', 'Nati Srebro']","['TTI Chicago', 'TTI-Chicago', 'Google Research', 'New York University', 'TTI-Chicago']"
NeurIPS,2017,Near-linear time approximation algorithms for optimal transport via Sinkhorn iteration,"['Jason Altschuler', 'Jon Niles-Weed', 'Philippe Rigollet']","['MIT', 'MIT', 'MIT']"
NeurIPS,2017,On Frank-Wolfe and Equilibrium Computation,"['Jacob D Abernethy', 'Jun-Kun Wang']","['University of Michigan', 'Georgia Institute of Technology']"
NeurIPS,2017,Greedy Algorithms for Cone Constrained Optimization with Convergence Guarantees,"['Francesco Locatello', 'Michael Tschannen', 'Gunnar Raetsch', 'Martin Jaggi']","['MPI Tübingen - ETH Zürich', 'ETH Zurich', 'ETHZ', 'EPFL']"
NeurIPS,2017,When Cyclic Coordinate Descent Outperforms Randomized Coordinate Descent,"['Mert Gurbuzbalaban', 'Asuman Ozdaglar', 'Pablo A Parrilo', 'Denizcan Vanli']","['Rutgers University', 'Massachusetts Institute of Technology', 'Massachusetts Institute of Technology', 'Massachusetts Institute of Technology']"
NeurIPS,2017,Linear Convergence of a Frank-Wolfe Type Algorithm over Trace-Norm Balls,"['Zeyuan Allen-Zhu', 'Elad Hazan', 'Wei Hu', 'Yuanzhi Li']","['Microsoft Research', 'Princeton University', 'Princeton University', 'Princeton University']"
NeurIPS,2017,"Adaptive Accelerated Gradient Converging Method under H\""{o}lderian Error Bound Condition","['Mingrui Liu', 'Tianbao Yang']","['The University of Iowa', 'The University of Iowa']"
NeurIPS,2017,Adaptive SVRG Methods under Error Bound Conditions with Unknown Growth Parameter,"['Yi Xu', 'Qihang Lin', 'Tianbao Yang']","['The University of Iowa', 'University of Iowa', 'The University of Iowa']"
NeurIPS,2017,Geometric Descent Method for Convex Composite Minimization,"['Shixiang Chen', 'Shiqian Ma', 'Wei Liu']","['The Chinese University of HongKong', 'UC Davis', 'Tencent AI Lab']"
NeurIPS,2017,Faster and Non-ergodic O(1/K) Stochastic Alternating Direction Method of Multipliers,"['Cong Fang', 'Feng Cheng', 'Zhouchen Lin']","['Peking University', 'Peking University', 'Peking University']"
